автор tf=0,006006 idf=0,7695511 tf-idf=0,0046219
создавать tf=0,003003 idf=0,8239087 tf-idf=0,0024742
сокращаться tf=0,003003 idf=1,69897 tf-idf=0,005102
сосочка tf=0,003003 idf=2 tf-idf=0,006006
состояние tf=0,009009 idf=1,09691 tf-idf=0,0098821
состоять tf=0,003003 idf=1,09691 tf-idf=0,003294
сохранять tf=0,003003 idf=1,30103 tf-idf=0,003907
спать tf=0,006006 idf=2 tf-idf=0,012012
способствовать tf=0,006006 idf=1,69897 tf-idf=0,010204
стадия tf=0,009009 idf=2 tf-idf=0,018018
стволовой tf=0,015015 idf=2 tf-idf=0,03003
стволовый tf=0,009009 idf=2 tf-idf=0,018018
стержень tf=0,003003 idf=2 tf-idf=0,006006
стресс tf=0,024024 idf=1,5228787 tf-idf=0,0365857
счет tf=0,003003 idf=1,09691 tf-idf=0,003294
считаться tf=0,003003 idf=1,30103 tf-idf=0,003907
течение tf=0,003003 idf=1,0457575 tf-idf=0,0031404
три tf=0,003003 idf=0,8860566 tf-idf=0,0026608
удерживать tf=0,003003 idf=1,69897 tf-idf=0,005102
университет tf=0,003003 idf=0,8239087 tf-idf=0,0024742
уровень tf=0,006006 idf=0,9586073 tf-idf=0,0057574
устанавливать tf=0,003003 idf=0,8860566 tf-idf=0,0026608
ученый tf=0,006006 idf=0,69897 tf-idf=0,004198
фаза tf=0,003003 idf=1,5228787 tf-idf=0,0045732
фактор tf=0,003003 idf=1,0457575 tf-idf=0,0031404
фолликул tf=0,036036 idf=2 tf-idf=0,0720721
функция tf=0,006006 idf=1,69897 tf-idf=0,010204
хронический tf=0,012012 idf=1,69897 tf-idf=0,020408
хсу tf=0,003003 idf=2 tf-idf=0,006006
цикл tf=0,003003 idf=1,5228787 tf-idf=0,0045732
часть tf=0,003003 idf=0,7447275 tf-idf=0,0022364
чей tf=0,003003 idf=1,5228787 tf-idf=0,0045732
человек tf=0,009009 idf=0,5686362 tf-idf=0,0051228
человеческий tf=0,003003 idf=1,39794 tf-idf=0,004198
число tf=0,003003 idf=0,552842 tf-idf=0,0016602
эквивалент tf=0,003003 idf=1,69897 tf-idf=0,005102
эксперимент tf=0,006006 idf=1,39794 tf-idf=0,008396
экспрессия tf=0,006006 idf=2 tf-idf=0,012012
эффективность tf=0,003003 idf=1,30103 tf-idf=0,003907
